 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  21   6     0.03   0.02   0.10     0.05  -0.00  -0.09    -0.02  -0.01   0.09
  22   6     0.03   0.02   0.15     0.05  -0.00  -0.11    -0.02  -0.00   0.15
  23   6     0.04   0.02   0.15     0.05  -0.00  -0.09    -0.02   0.00   0.18
  24   6     0.04   0.02   0.11     0.04   0.00  -0.06    -0.01   0.00   0.15
  25   6     0.04   0.02   0.06     0.04   0.00  -0.05    -0.01  -0.00   0.09
  26   6     0.03   0.02   0.06     0.05  -0.00  -0.06    -0.02  -0.01   0.07
  27   1     0.01   0.01   0.05     0.02  -0.00  -0.04    -0.01  -0.00   0.05
  28   1     0.01   0.01   0.05     0.01  -0.00  -0.03    -0.00   0.00   0.06
  29   1     0.01   0.01   0.03     0.01   0.00  -0.01    -0.00   0.00   0.05
  30   1     0.01   0.00   0.01     0.01  -0.00  -0.01    -0.01  -0.00   0.01
  31   6     0.04   0.02   0.02     0.04   0.00  -0.02    -0.01  -0.00   0.06
  32   6     0.03   0.01   0.03     0.04  -0.00   0.00    -0.02   0.00   0.05
  33   6     0.03   0.01  -0.01     0.04  -0.00   0.02    -0.01   0.00   0.02
  34   7     0.05   0.01  -0.04     0.04   0.00   0.03    -0.00   0.00   0.00
  35   6     0.07   0.01  -0.05     0.03   0.01   0.02     0.01   0.00   0.01
  36   6     0.07   0.02  -0.02     0.03   0.01  -0.01     0.00  -0.00   0.04
  37   1     0.00   0.00   0.02     0.01  -0.00  -0.00    -0.01   0.00   0.02
  38   1     0.01   0.00  -0.00     0.01  -0.00   0.01    -0.00   0.00   0.00
  39   1     0.02   0.00  -0.02     0.01   0.00   0.01     0.00  -0.00  -0.00
  40   1     0.02   0.01  -0.01     0.01   0.00  -0.01     0.00  -0.00   0.01
  41   6    -0.10  -0.02  -0.01    -0.09   0.00   0.07     0.05  -0.02  -0.03
  42   6    -0.10  -0.02  -0.01    -0.10   0.00   0.06     0.01  -0.02  -0.02
  43   6    -0.10  -0.02  -0.02    -0.12   0.00   0.06    -0.03  -0.01  -0.01
  44   6    -0.14  -0.02  -0.02    -0.18   0.00   0.07    -0.06  -0.01  -0.01
  45   6    -0.14  -0.03  -0.03    -0.20   0.01   0.06    -0.11  -0.01  -0.01
  46   6    -0.10  -0.02  -0.05    -0.16   0.01   0.05    -0.11  -0.00  -0.01
  47   6    -0.06  -0.02  -0.05    -0.09   0.00   0.04    -0.08  -0.00  -0.01
  48   6    -0.01  -0.01  -0.06    -0.05   0.00   0.03    -0.08   0.00  -0.01
  49   6     0.02  -0.01  -0.06     0.00  -0.00   0.03    -0.04  -0.00  -0.02
  50   7     0.03  -0.01  -0.05     0.02  -0.00   0.04    -0.02  -0.01  -0.02
