 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  99   6    -0.05  -0.01  -0.00    -0.13   0.00   0.01    -0.00   0.01  -0.06
 100   6    -0.08  -0.01   0.00    -0.11   0.00   0.00    -0.01   0.01  -0.05
 101   6    -0.12  -0.01  -0.00    -0.07   0.00   0.00    -0.01   0.00  -0.05
 102   6    -0.20  -0.00  -0.00    -0.10   0.00  -0.00    -0.02   0.01  -0.05
 103   6    -0.22  -0.00  -0.00    -0.07   0.00   0.00    -0.02   0.00  -0.05
 104   6    -0.16  -0.00  -0.00    -0.02   0.00   0.00    -0.02   0.00  -0.05
 105   7    -0.10  -0.01  -0.00    -0.00   0.00   0.00    -0.02   0.00  -0.05
 106   6    -0.07  -0.01   0.00    -0.02   0.00   0.00    -0.02   0.00  -0.05
 107   1    -0.07  -0.00  -0.00    -0.04   0.00  -0.00    -0.00   0.00  -0.01
 108   1    -0.08  -0.00  -0.00    -0.02   0.00  -0.00    -0.01   0.00  -0.01
 109   1    -0.05  -0.00  -0.00     0.00   0.00   0.00    -0.01   0.00  -0.01
 110   1    -0.00  -0.00   0.00    -0.00   0.00   0.00    -0.00   0.00  -0.02
 111   6     0.00  -0.01  -0.00    -0.16  -0.00   0.02     0.01   0.01  -0.06
 112   6     0.04  -0.02  -0.01    -0.23  -0.01   0.04     0.01   0.01  -0.06
 113   6     0.09  -0.03  -0.01    -0.26  -0.01   0.05     0.02   0.01  -0.07
 114   6     0.10  -0.02  -0.01    -0.21  -0.01   0.04     0.02   0.01  -0.07
 115   6     0.06  -0.00   0.00    -0.14   0.00   0.01     0.01   0.01  -0.06
 116   6     0.02   0.00   0.01    -0.12   0.00   0.00     0.00   0.01  -0.06
 117   1     0.01  -0.01  -0.00    -0.08  -0.00   0.01     0.00   0.00  -0.02
 118   1     0.03  -0.01  -0.01    -0.09  -0.00   0.02     0.01   0.00  -0.02
 119   1     0.04  -0.01  -0.00    -0.07  -0.00   0.01     0.01   0.00  -0.02
 120   1    -0.00   0.00   0.00    -0.02   0.00  -0.01    -0.00   0.00  -0.02
 121   6     0.07   0.01   0.01    -0.10   0.00   0.00     0.01   0.01  -0.06
 122   6     0.11   0.02   0.03    -0.11   0.01  -0.02     0.01   0.01  -0.06
 123   6     0.12   0.03   0.04    -0.06   0.01  -0.03     0.01   0.01  -0.06
 124   6     0.09   0.02   0.03    -0.01   0.01  -0.02     0.01   0.01  -0.06
 125   7     0.05   0.01   0.02    -0.00   0.01   0.00     0.00   0.01  -0.07
 126   6     0.04   0.00   0.01    -0.04   0.01   0.01     0.00   0.01  -0.06
 127   1     0.04   0.01   0.01    -0.04   0.00  -0.01     0.00   0.00  -0.02
 128   1     0.04   0.01   0.01    -0.02   0.00  -0.01     0.00   0.00  -0.02
 129   1     0.03   0.01   0.01     0.01   0.01  -0.01     0.00   0.00  -0.02
 130   1     0.00  -0.00  -0.00    -0.01   0.00   0.01     0.00   0.00  -0.02
                      4                      5                      6
                        a                      a                      a 
