Entry,Index,NAME,Query,Fragment,ANG1,ANG2,ANG3,ANG4,DIST1,DIST2,DIST3,DIST4,NNNN,PDPL1,PDPL2,PDPL3,PDPL4,V1,V2,abs(N1_PLA),abs(N2_PLA),abs(N3_PLA),abs(N4_PLA),abs(PD_PLA)
npd_t4_aromatic|OLARUO|100,101,OLARUO,1,1,86.905,180.0,86.905,180.0,2.027,2.03,2.03,2.027,0.0,87.654,87.64,87.64,87.654,93.095,93.095,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|OQEKIF|101,102,OQEKIF,1,1,180.0,93.211,180.0,93.211,2.016,2.026,2.016,2.026,-180.0,84.038,84.038,83.53,83.53,86.789,86.789,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|OQIFOK|102,103,OQIFOK,1,1,86.811,180.0,86.811,180.0,2.019,2.025,2.025,2.019,0.0,89.676,87.755,87.755,89.676,93.189,93.189,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|OYEZEY|103,104,OYEZEY,1,1,90.442,177.345,89.368,177.608,2.026,2.041,2.023,2.011,-0.815,85.03,85.372,83.012,88.177,88.631,91.499,0.003,0.004,0.017,0.017,0.027
npd_t4_aromatic|OYEZEY|104,105,OYEZEY,1,2,88.718,178.428,91.449,176.076,2.028,2.018,2.025,2.01,-2.165,80.836,84.314,85.631,88.358,89.844,89.946,0.034,0.035,0.019,0.018,0.031
npd_t4_aromatic|PARZUE|105,106,PARZUE,1,1,89.894,180.0,89.894,180.0,2.03,2.016,2.016,2.03,0.0,89.855,88.913,88.913,89.855,90.106,90.106,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|PEKDAN|106,107,PEKDAN,1,1,86.662,174.807,87.089,176.561,2.03,2.03,2.036,2.026,-1.244,83.496,84.943,82.195,82.274,93.254,92.686,0.001,0.001,0.031,0.031,0.061
npd_t4_aromatic|PEKDAN|107,108,PEKDAN,1,2,93.274,176.955,92.57,175.545,2.029,2.028,2.026,2.024,-1.037,83.181,82.652,80.224,80.247,87.044,86.878,0.026,0.026,0.001,0.0,0.053
npd_t4_aromatic|PNTLPD|108,109,PNTLPD,1,1,81.011,98.799,81.011,101.765,2.059,2.042,2.042,2.059,-15.591,84.077,84.584,84.584,84.077,167.801,167.801,0.213,0.213,0.22,0.22,0.0
npd_t4_aromatic|PUXHIB|109,110,PUXHIB,1,1,82.183,176.001,88.29,174.152,2.006,2.023,2.012,2.034,-5.283,86.058,82.325,88.291,88.347,95.995,93.784,0.067,0.069,0.068,0.063,0.004
npd_t4_aromatic|PUXHIB|110,111,PUXHIB,1,2,95.323,82.001,95.323,87.345,2.004,2.014,2.014,2.004,0.0,80.5,88.426,88.426,80.5,177.243,177.243,0.002,0.002,0.002,0.002,0.01
