 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  79   6    -0.04  -0.04  -0.00     0.00  -0.02   0.04    -0.03  -0.01   0.06
  80   6    -0.05  -0.03   0.01    -0.01  -0.01   0.08    -0.02  -0.01   0.06
  81   6    -0.04  -0.03   0.03    -0.03  -0.00   0.12    -0.01  -0.01   0.06
  82   6    -0.05  -0.03   0.05    -0.05   0.01   0.17    -0.01  -0.02   0.07
  83   6    -0.04  -0.03   0.07    -0.05   0.02   0.20     0.00  -0.02   0.07
  84   6    -0.03  -0.02   0.06    -0.04   0.02   0.19     0.02  -0.02   0.05
  85   6    -0.03  -0.02   0.04    -0.02   0.01   0.14     0.02  -0.02   0.03
  86   6    -0.01  -0.01   0.04    -0.01   0.01   0.12     0.04  -0.02   0.01
  87   6    -0.01  -0.00   0.01     0.01   0.00   0.08     0.04  -0.01  -0.01
  88   7    -0.02  -0.00  -0.00     0.01  -0.01   0.06     0.03  -0.01  -0.00
  89   6    -0.03  -0.01   0.00    -0.00  -0.01   0.07     0.01  -0.01   0.02
  90   6    -0.03  -0.02   0.02    -0.02   0.00   0.11     0.01  -0.01   0.03
  91   1    -0.02  -0.01   0.02    -0.02   0.00   0.05    -0.01  -0.00   0.03
  92   1    -0.01  -0.01   0.02    -0.02   0.01   0.07    -0.00  -0.01   0.02
  93   1    -0.01  -0.01   0.02    -0.01   0.01   0.06     0.01  -0.01   0.01
  94   1    -0.00  -0.00   0.01    -0.00   0.01   0.04     0.02  -0.01   0.00
  95   1    -0.00   0.00   0.00     0.01  -0.00   0.02     0.02  -0.00  -0.01
  96   1    -0.01  -0.00  -0.00    -0.00  -0.00   0.01     0.00  -0.00   0.01
  97   6    -0.04  -0.04  -0.01     0.02  -0.03   0.00    -0.04  -0.01   0.07
  98   6    -0.04  -0.04  -0.01     0.04  -0.04  -0.03    -0.07  -0.01   0.10
  99   6    -0.04  -0.04  -0.01     0.06  -0.04  -0.06    -0.07  -0.01   0.11
 100   6    -0.03  -0.04  -0.02     0.05  -0.03  -0.07    -0.05  -0.01   0.09
 101   6    -0.02  -0.04  -0.02     0.03  -0.02  -0.05    -0.02  -0.01   0.05
 102   6    -0.03  -0.04  -0.02     0.02  -0.02  -0.01    -0.02  -0.01   0.05
 103   1    -0.01  -0.01   0.00     0.01  -0.01  -0.00    -0.03  -0.00   0.03
 104   1    -0.01  -0.01  -0.00     0.02  -0.02  -0.02    -0.03  -0.00   0.04
 105   1    -0.01  -0.01  -0.01     0.02  -0.01  -0.03    -0.01  -0.00   0.03
 106   1    -0.01  -0.01  -0.01     0.00  -0.00   0.00     0.00  -0.00   0.01
 107   6    -0.02  -0.04  -0.03     0.02  -0.01  -0.05     0.01  -0.01   0.03
 108   6    -0.02  -0.04  -0.04     0.04  -0.01  -0.07     0.01  -0.01   0.02
 109   6    -0.02  -0.03  -0.04     0.02  -0.00  -0.06     0.04  -0.02  -0.00
 110   7    -0.01  -0.03  -0.04    -0.01   0.02  -0.04     0.07  -0.02  -0.02
 111   6    -0.01  -0.03  -0.04    -0.02   0.03  -0.02     0.07  -0.02  -0.01
 112   6    -0.01  -0.03  -0.03    -0.01   0.02  -0.03     0.04  -0.01   0.02
 113   1    -0.01  -0.01  -0.01     0.02  -0.01  -0.02    -0.00  -0.00   0.01
 114   1    -0.01  -0.01  -0.01     0.01  -0.00  -0.02     0.01  -0.01  -0.00
 115   1    -0.00  -0.01  -0.01    -0.01   0.01  -0.00     0.03  -0.01  -0.00
 116   1    -0.00  -0.01  -0.01    -0.01   0.01  -0.01     0.01  -0.00   0.01
 117   6    -0.02   0.03  -0.02     0.06   0.03  -0.01    -0.07   0.01   0.03
 118   6    -0.00   0.03  -0.03     0.10   0.02  -0.03    -0.06   0.01   0.02
 119   6     0.01   0.02  -0.03     0.14   0.01  -0.03    -0.06   0.01   0.01
 120   6     0.02   0.03  -0.03     0.20  -0.00  -0.06    -0.10   0.02   0.03
 121   6     0.04   0.02  -0.03     0.23  -0.01  -0.06    -0.10   0.02   0.02
 122   6     0.03   0.02  -0.02     0.21  -0.01  -0.04    -0.06   0.01   0.00
 123   6     0.02   0.01  -0.02     0.15  -0.01  -0.02    -0.03  -0.00  -0.01
 124   6     0.02   0.01  -0.01     0.12  -0.01   0.01     0.01  -0.01  -0.03
 125   6     0.01   0.00  -0.01     0.07   0.00   0.02     0.04  -0.02  -0.04
 126   7     0.00   0.00  -0.02     0.05   0.01   0.02     0.04  -0.02  -0.04
 127   6     0.00   0.01  -0.03     0.07   0.01  -0.00     0.01  -0.01  -0.02
 128   6     0.01   0.01  -0.03     0.12   0.01  -0.02    -0.03  -0.00  -0.01
 129   1     0.01   0.01  -0.01     0.06   0.00  -0.02    -0.04   0.01   0.01
 130   1     0.01   0.01  -0.01     0.08  -0.01  -0.02    -0.04   0.01   0.01
 131   1     0.01   0.00  -0.01     0.07  -0.01  -0.01    -0.02   0.00  -0.00
 132   1     0.01   0.00  -0.00     0.04  -0.00   0.00     0.00  -0.00  -0.01
 133   1     0.00  -0.00  -0.00     0.01   0.00   0.01     0.02  -0.01  -0.02
 134   1    -0.00   0.00  -0.01     0.01   0.01  -0.00     0.00  -0.00  -0.00
 135   6    -0.03   0.03  -0.02     0.03   0.03   0.00    -0.07   0.01   0.04
 136   6    -0.04   0.04  -0.01     0.01   0.04   0.01    -0.09   0.00   0.06
 137   6    -0.05   0.04  -0.00    -0.02   0.04   0.03    -0.09   0.00   0.07
 138   6    -0.06   0.03  -0.01    -0.04   0.03   0.03    -0.07   0.01   0.05
 139   6    -0.05   0.03  -0.02    -0.02   0.02   0.02    -0.05   0.01   0.03
 140   6    -0.03   0.03  -0.02     0.01   0.02   0.01    -0.05   0.01   0.02
 141   1    -0.01   0.01  -0.00     0.01   0.01   0.00    -0.03   0.00   0.02
 142   1    -0.02   0.01   0.00    -0.01   0.01   0.01    -0.03  -0.00   0.02
 143   1    -0.02   0.01  -0.00    -0.02   0.01   0.01    -0.02   0.00   0.01
 144   1    -0.01   0.01  -0.01     0.01   0.01   0.00    -0.01   0.00   0.00
 145   6    -0.05   0.02  -0.02    -0.03   0.02   0.03    -0.03   0.01   0.01
 146   6    -0.04   0.01  -0.03    -0.02  -0.00   0.01    -0.02   0.02  -0.01
 147   6    -0.04   0.01  -0.03    -0.02  -0.01   0.01    -0.00   0.02  -0.02
